term,estimate,std.error,statistic,p.value,conf_low,conf_high
(Intercept),3.5176082134901354,0.17347541881485415,20.27727177442003,5.425757085255945e-88,3.177522150283692,3.857694276696579
accommodates,0.1643695910254912,0.0072524703479888535,22.66394526812119,1.9075783587153106e-108,0.15015164530142647,0.17858753674955594
room_typeHotel room,0.14466236487641088,0.06812235767162722,2.123566620722852,0.033754277172452093,0.011113389493270148,0.27821134025955163
room_typePrivate room,-0.37763898205584756,0.015242894341787536,-24.774755606654807,4.573990500761566e-128,-0.40752157847201725,-0.34775638563967787
room_typeShared room,-0.343725334399806,0.11338836104462052,-3.031398736458881,0.002446426793014056,-0.5660150488996563,-0.12143561989995577
neighbourhood_cleansedBijlmer-Oost,-0.20564522933931578,0.10843049897376213,-1.8965626026407714,0.05794199050059411,-0.41821541236250015,0.006924953683868557
neighbourhood_cleansedBos en Lommer,0.1107060457248438,0.07064946171861751,1.5669764925564975,0.11718205667384321,-0.02779713511590845,0.24920922656559605
neighbourhood_cleansedBuitenveldert - Zuidas,0.3030841994218186,0.08306997465017071,3.648540892159713,2.6636254679607643e-4,0.14023149762441212,0.46593690121922504
neighbourhood_cleansedCentrum-Oost,0.41453020070781493,0.0683119196684647,6.068197215356215,1.3866612052898138e-9,0.2806096026839656,0.5484507987316642
neighbourhood_cleansedCentrum-West,0.518788711858846,0.06788051078622034,7.642675428484835,2.5247155406395163e-14,0.3857138598743901,0.6518635638433019
neighbourhood_cleansedDe Aker - Nieuw Sloten,-0.023400944498515673,0.09123128686899301,-0.2565013089437085,0.7975740875736329,-0.20225331104416058,0.15545142204712922
neighbourhood_cleansedDe Baarsjes - Oud-West,0.33769958009399464,0.06732320528567938,5.016094802096837,5.451593707859106e-7,0.2057172854008086,0.4696818747871807
neighbourhood_cleansedDe Pijp - Rivierenbuurt,0.368689839002638,0.06826134473605035,5.401151126281938,6.921049147953446e-8,0.23486838949089048,0.5025112885143855
neighbourhood_cleansedGaasperdam - Driemond,-0.15208579901018238,0.09907692339391132,-1.5350274695704638,0.12483894155919598,-0.3463189708441883,0.04214737282382355
neighbourhood_cleansedGeuzenveld - Slotermeer,0.0254481908670457,0.0780226762056104,0.32616403467093313,0.7443135968283112,-0.12750964588512623,0.17840602761921762
neighbourhood_cleansedIJburg - Zeeburgereiland,0.1345800447743768,0.0766568218145623,1.7556173291391395,0.07921363387959511,-0.015700132826209273,0.2848602223749629
neighbourhood_cleansedNoord-Oost,-0.15144678278900467,0.07545899283754662,-2.0070077414768823,0.04480137092197661,-0.2993787029593975,-0.0035148626186118637
neighbourhood_cleansedNoord-West,-0.17182399358009098,0.07269871516269122,-2.363507982164045,0.01814002742055897,-0.3143445881908661,-0.029303398969315886
neighbourhood_cleansedOostelijk Havengebied - Indische Buurt,0.15099321084426484,0.07112723903734812,2.1228605649233763,0.03381344562179024,0.011553381984291816,0.29043303970423784
neighbourhood_cleansedOsdorp,0.0811386913622918,0.09263394271216414,0.8759067031661295,0.3811218936864287,-0.1004634809310291,0.2627408636556127
neighbourhood_cleansedOud-Noord,0.10370068270725194,0.07058857206645604,1.4690859960961147,0.14187097474775046,-0.0346831283563003,0.24208449377080418
neighbourhood_cleansedOud-Oost,0.2615676210590918,0.06982802990541957,3.745882869864423,1.8173904823694923e-4,0.12467479812063792,0.3984604439975457
neighbourhood_cleansedSlotervaart,0.025628220853300392,0.07717702618332112,0.33207059303405706,0.7398495636105078,-0.12567177994207962,0.17692822164868038
neighbourhood_cleansedWatergraafsmeer,0.11066572606137311,0.07504261241436248,1.4747051375332008,0.14035339087712295,-0.0364499102811187,0.2577813624038649
neighbourhood_cleansedWesterpark,0.28974543115498747,0.0692222407922176,4.185727417069724,2.890263441176589e-5,0.15404021413816596,0.425450648171809
neighbourhood_cleansedZuid,0.3090993921104697,0.06903255494727957,4.477588760064438,7.713302544832393e-6,0.1737660405296372,0.44443274369130226
bedrooms,0.13796621383440666,0.010392028476459906,13.276158177099752,1.4288104187424945e-39,0.11759339054086297,0.15833903712795033
availability_365,7.315365995210267e-4,4.514853774860478e-5,16.202885763307656,1.2829315631211772e-57,6.430261432999187e-4,8.200470557421346e-4
beds,-0.06100556206643914,0.0059783971112267326,-10.204334193838982,3.2311382323377118e-24,-0.0727257789809279,-0.04928534515195038
bathrooms,0.12532937109516296,0.012540405582470795,9.994044472560809,2.644545711976216e-23,0.1007448092322149,0.149913932958111
number_of_reviews,-3.2344893806654393e-4,3.4804882418026955e-5,-9.293205883638203,2.165006485958635e-20,-3.916814030623075e-4,-2.5521647307078036e-4
review_scores_accuracy,0.15305234721114913,0.037912907537866865,4.036945651247735,5.494331548889252e-5,0.07872682283801526,0.22737787158428302
minimum_nights,-0.0035730093814334276,5.138841848185405e-4,-6.952946766974558,4.026171251800124e-12,-0.004580442310853312,-0.0025655764520135424
review_scores_communication,-0.14892649472722314,0.03578605736226645,-4.161578718203651,3.2124471623878934e-5,-0.21908248252744433,-0.07877050692700195
review_scores_location,0.10446075670340621,0.031379161489412076,3.328984961521462,8.777976953704072e-4,0.0429441708345867,0.1659773425722257
review_scores_cleanliness,0.04938830655314025,0.027828493214950102,1.7747387963717605,0.07600050017265436,-0.005167449917120148,0.10394406302340065
calculated_host_listings_count,0.003955139062230253,0.0016272896209462498,2.43050715208912,0.015111869862044396,0.00076495497352679475,0.007145323150933711
review_scores_value,-0.055511341376096736,0.027778462613018036,-1.9983590218589717,0.04573060374463566,-0.10996901645495791,-0.0010536662972355712
review_scores_rating,0.08170511971573802,0.04781654196201883,1.7087207975147436,0.0875633580774996,-0.012035766590260427,0.17544600602173646
